filename,fold,chroma_stft_mean,chroma_stft_variance,rmse_mean,rmse_variance,spectral_centroid_mean,spectral_centroid_variance,spectral_bandwidth_mean,spectral_bandwidth_variance,spectral_rolloff_mean,spectral_rolloff_variance,zero_crossing_rate_mean,zero_crossing_rate_variance,MFCC_1_mean,MFCC_1_variance,MFCC_2_mean,MFCC_2_variance,MFCC_3_mean,MFCC_3_variance,MFCC_4_mean,MFCC_4_variance,MFCC_5_mean,MFCC_5_variance,MFCC_6_mean,MFCC_6_variance,MFCC_7_mean,MFCC_7_variance,MFCC_8_mean,MFCC_8_variance,MFCC_9_mean,MFCC_9_variance,MFCC_10_mean,MFCC_10_variance,MFCC_11_mean,MFCC_11_variance,MFCC_12_mean,MFCC_12_variance,MFCC_13_mean,MFCC_13_variance,MFCC_14_mean,MFCC_14_variance,MFCC_15_mean,MFCC_15_variance,MFCC_16_mean,MFCC_16_variance,MFCC_17_mean,MFCC_17_variance,MFCC_18_mean,MFCC_18_variance,MFCC_19_mean,MFCC_19_variance,MFCC_20_mean,MFCC_20_variance,class_ID
103199-4-2-2,3,0.5530897,0.057382338,0.15727031,0.000246793,2457.313426,5942.591989,1596.497059,5019.395812,3637.430991,17430.02661,0.193288814,0.000171746,-44.05694,-44.05694,68.46677,68.46677,-105.650154,-105.650154,13.740229,13.740229,-3.1019082,-3.1019082,3.0059352,3.0059352,-6.8835406,-6.8835406,12.680335,12.680335,-0.8448856,-0.8448856,7.3637524,7.3637524,-8.874763,-8.874763,2.8247101,2.8247101,-1.8258601,-1.8258601,1.1807094,1.1807094,-9.766907,-9.766907,8.280001,8.280001,-2.940778,-2.940778,13.268608,13.268608,3.853786,3.853786,3.2122,3.2122,4
103199-4-2-3,3,0.5174926,0.061353337,0.15760761,0.000255215,2433.620624,5941.65856,1573.952976,3210.318662,3574.885127,11987.1646,0.194152479,0.000174443,-45.231167,-45.231167,72.182594,72.182594,-106.21927,-106.21927,12.281344,12.281344,-7.203763,-7.203763,-0.45903373,-0.45903373,-10.052072,-10.052072,9.829971,9.829971,-3.189123,-3.189123,4.8330665,4.8330665,-12.117197,-12.117197,1.1200482,1.1200482,-3.8969865,-3.8969865,-1.8332689,-1.8332689,-16.11547,-16.11547,3.6837966,3.6837966,-5.611216,-5.611216,8.650721,8.650721,2.8058286,2.8058286,-0.4674405,-0.4674405,4
103199-4-2-4,3,0.5588124,0.060875893,0.15695627,0.000293907,2420.697953,4024.819456,1571.55982,2998.174643,3544.203424,7069.146317,0.195913679,0.000157377,-43.24281,-43.24281,75.79058,75.79058,-104.72557,-104.72557,13.6172495,13.6172495,-6.725326,-6.725326,-0.16511121,-0.16511121,-10.313868,-10.313868,8.046461,8.046461,-5.8303285,-5.8303285,4.2246847,4.2246847,-11.859799,-11.859799,1.0539855,1.0539855,-4.6368275,-4.6368275,-0.5510157,-0.5510157,-17.112944,-17.112944,3.4501555,3.4501555,-6.850436,-6.850436,4.312872,4.312872,1.8303001,1.8303001,-0.7598815,-0.7598815,4
103199-4-2-5,3,0.60803175,0.048291467,0.15624176,0.00015789,2463.122282,4195.49716,1611.87359,3239.104446,3575.009596,11102.58207,0.199359872,0.00017598,-39.39657,-39.39657,73.09353,73.09353,-102.32111,-102.32111,13.779784,13.779784,-6.1307406,-6.1307406,0.14725931,0.14725931,-11.904814,-11.904814,7.3626857,7.3626857,-6.3064475,-6.3064475,6.5548935,6.5548935,-8.469094,-8.469094,1.5016289,1.5016289,-4.891357,-4.891357,0.3700263,0.3700263,-17.415756,-17.415756,5.5780854,5.5780854,-7.326057,-7.326057,2.407867,2.407867,1.6761044,1.6761044,0.93410504,0.93410504,4
103199-4-2-6,3,0.55723387,0.05936205,0.15759498,0.000102578,2457.645597,4229.479733,1608.447192,3085.96253,3571.151045,10441.58139,0.19702854,0.000175613,-42.418125,-42.418125,71.06752,71.06752,-104.47987,-104.47987,10.153704,10.153704,-8.745155,-8.745155,-3.1890268,-3.1890268,-16.009123,-16.009123,4.4526134,4.4526134,-8.002564,-8.002564,4.923687,4.923687,-10.985171,-10.985171,-1.4287843,-1.4287843,-7.0381393,-7.0381393,-1.7491841,-1.7491841,-19.803562,-19.803562,4.057545,4.057545,-9.034544,-9.034544,2.8221488,2.8221488,1.2649013,1.2649013,-1.6749744,-1.6749744,4
103199-4-2-7,3,0.5284344,0.06436378,0.14592822,0.000532503,2522.599808,29848.71079,1616.143186,8335.082552,3717.464804,99064.23442,0.197790598,0.000254317,-56.569756,-56.569756,59.00605,59.00605,-110.377525,-110.377525,7.7037826,7.7037826,-8.663303,-8.663303,-0.877509,-0.877509,-12.467539,-12.467539,8.020099,8.020099,-5.115523,-5.115523,4.2231193,4.2231193,-11.847221,-11.847221,0.4863685,0.4863685,-2.9973874,-2.9973874,2.99414,2.99414,-14.237487,-14.237487,6.3353567,6.3353567,-6.6693406,-6.6693406,6.0924053,6.0924053,1.1989268,1.1989268,-0.50775295,-0.50775295,4
103199-4-2-8,3,0.54677624,0.057611294,0.14292338,0.000434025,2741.052451,37423.35861,1707.749484,10957.97908,4113.15297,127949.1299,0.208134822,0.000324761,-60.75405,-60.75405,32.645947,32.645947,-116.53713,-116.53713,5.984959,5.984959,-9.283313,-9.283313,4.8791814,4.8791814,-6.6764445,-6.6764445,12.745468,12.745468,-3.8512013,-3.8512013,6.4172983,6.4172983,-6.724484,-6.724484,9.498636,9.498636,1.2492914,1.2492914,8.692604,8.692604,-4.8600035,-4.8600035,11.831219,11.831219,-2.8245795,-2.8245795,8.755134,8.755134,-0.6103245,-0.6103245,3.503982,3.503982,4
103199-4-2-9,3,0.5610709,0.053215712,0.15657501,0.000105138,2889.995469,3309.440362,1777.140308,2295.977011,4336.762215,18497.5151,0.215309452,0.0001578,-55.09261,-55.09261,13.398,13.398,-121.318596,-121.318596,3.0488493,3.0488493,-9.885002,-9.885002,5.0754075,5.0754075,-4.637399,-4.637399,14.820956,14.820956,-3.6877441,-3.6877441,8.132584,8.132584,-3.7121024,-3.7121024,13.036726,13.036726,0.59427834,0.59427834,7.5257535,7.5257535,-3.2966838,-3.2966838,12.530152,12.530152,-2.6386912,-2.6386912,8.570208,8.570208,-2.6861093,-2.6861093,3.2100012,3.2100012,4
103199-4-4-0,3,0.58436364,0.052803773,0.14310956,0.002477785,2632.956673,58046.04827,1641.841562,30766.05627,3905.708187,229327.2556,0.195079558,0.000533352,-80.23058,-80.23058,35.09933,35.09933,-123.48933,-123.48933,1.9076986,1.9076986,-4.290059,-4.290059,9.043574,9.043574,-3.9366043,-3.9366043,14.399369,14.399369,-3.0367732,-3.0367732,6.629423,6.629423,-3.7811794,-3.7811794,8.12525,8.12525,-4.9793158,-4.9793158,3.8060048,3.8060048,-7.23194,-7.23194,3.8984876,3.8984876,-7.4755635,-7.4755635,5.256229,5.256229,-5.5669627,-5.5669627,1.6243128,1.6243128,4
103199-4-6-0,3,0.5134087,0.05922906,0.15294792,0.000555583,2566.861772,2604.348731,1566.049031,2562.850582,3638.368804,6351.049276,0.20244309,0.000466856,-56.037437,-56.037437,60.471554,60.471554,-107.33062,-107.33062,20.520718,20.520718,-5.598171,-5.598171,-11.653198,-11.653198,-21.469725,-21.469725,5.4098115,5.4098115,-4.9864683,-4.9864683,8.726175,8.726175,-8.224417,-8.224417,-3.4927084,-3.4927084,-8.162049,-8.162049,0.06590807,0.06590807,-17.04465,-17.04465,6.5081344,6.5081344,-5.246302,-5.246302,11.171213,11.171213,-2.7295527,-2.7295527,-2.5970876,-2.5970876,4
103199-4-7-2,3,0.48275292,0.06862396,0.13614173,0.001623267,2605.766307,24880.77402,1628.325445,7874.654435,3756.050313,63456.10421,0.197158372,0.000284652,-81.490616,-81.490616,40.72577,40.72577,-120.61644,-120.61644,2.4493775,2.4493775,-7.088266,-7.088266,-5.1451764,-5.1451764,-14.206593,-14.206593,7.9017234,7.9017234,-7.8034186,-7.8034186,6.709302,6.709302,-13.194598,-13.194598,-1.8786447,-1.8786447,-7.3233953,-7.3233953,2.9522262,2.9522262,-11.803689,-11.803689,6.279817,6.279817,-6.9061174,-6.9061174,8.729953,8.729953,-4.227163,-4.227163,2.0900407,2.0900407,4
103357-4-0-0,3,0.4060558,0.07024804,0.09706385,0.000628838,4604.96908,107173.4622,2846.541898,27206.90627,8031.200184,293187.2782,0.342589979,0.001330173,-70.079704,-70.079704,-26.620874,-26.620874,-54.161148,-54.161148,-28.849157,-28.849157,-31.67553,-31.67553,-8.266386,-8.266386,-11.973892,-11.973892,-9.5541725,-9.5541725,-23.392626,-23.392626,-11.8282,-11.8282,-15.6439495,-15.6439495,-3.1536787,-3.1536787,-8.996971,-8.996971,-11.160099,-11.160099,-10.483357,-10.483357,-15.139852,-15.139852,-17.66185,-17.66185,-13.365037,-13.365037,-8.393114,-8.393114,-3.6394403,-3.6394403,4
103357-4-0-1,3,0.38034627,0.06952119,0.10747517,6.57E-05,4684.875311,20838.80771,2940.687527,3234.316885,8294.639632,57692.95537,0.343021812,0.00105694,-53.726845,-53.726845,-27.283457,-27.283457,-51.58735,-51.58735,-34.105034,-34.105034,-31.663645,-31.663645,-9.592539,-9.592539,-13.367069,-13.367069,-8.853867,-8.853867,-22.396584,-22.396584,-14.61447,-14.61447,-14.542201,-14.542201,-3.5089612,-3.5089612,-10.461382,-10.461382,-11.130694,-11.130694,-12.594997,-12.594997,-14.647772,-14.647772,-19.35085,-19.35085,-14.11064,-14.11064,-10.532333,-10.532333,-1.9244264,-1.9244264,4
104625-4-0-15,7,0.62041765,0.047839805,0.060230322,0.000258629,2897.152122,33670.43205,2483.75534,33654.65083,5657.320126,73472.21158,0.188439871,0.001096805,-91.00093,-91.00093,72.611755,72.611755,-23.97295,-23.97295,20.33908,20.33908,-18.163902,-18.163902,2.8271136,2.8271136,-0.7137176,-0.7137176,7.6890864,7.6890864,-5.6700187,-5.6700187,4.230743,4.230743,-7.774393,-7.774393,-6.9868374,-6.9868374,-8.440056,-8.440056,1.8845769,1.8845769,-9.062515,-9.062515,3.3202088,3.3202088,-4.482895,-4.482895,-0.28762025,-0.28762025,-2.9293542,-2.9293542,0.58002096,0.58002096,4
104625-4-0-21,7,0.6261518,0.04319838,0.05766603,0.000423238,2958.016544,65664.68774,2358.895021,13879.94658,5531.481581,56983.77262,0.205267228,0.00179894,-97.19241,-97.19241,65.3385,65.3385,-34.196396,-34.196396,25.41802,25.41802,-18.030779,-18.030779,1.8673882,1.8673882,-6.190427,-6.190427,8.011577,8.011577,-9.640366,-9.640366,0.03062139,0.03062139,-12.3702135,-12.3702135,-4.1950493,-4.1950493,-8.307549,-8.307549,0.46896875,0.46896875,-7.3610163,-7.3610163,4.522424,4.522424,-5.088788,-5.088788,0.42343718,0.42343718,-1.3418913,-1.3418913,3.3215146,3.3215146,4
104625-4-0-27,7,0.6458605,0.04365835,0.051755995,0.000201031,3057.143757,52492.10477,2329.637426,23231.48891,5648.296096,40590.0246,0.215512667,0.002396749,-105.575615,-105.575615,58.948257,58.948257,-38.774136,-38.774136,25.672588,25.672588,-17.867664,-17.867664,4.1418247,4.1418247,-8.812889,-8.812889,7.604904,7.604904,-11.460075,-11.460075,-1.8850659,-1.8850659,-6.672943,-6.672943,-3.8798232,-3.8798232,-6.8771987,-6.8771987,0.69494325,0.69494325,-6.2755175,-6.2755175,1.1365709,1.1365709,-6.245547,-6.245547,-0.42321292,-0.42321292,-2.965637,-2.965637,-0.6957823,-0.6957823,4
104625-4-0-29,7,0.55882716,0.056267593,0.06577811,0.000399776,3107.260992,30386.27825,2549.843159,68726.10643,5927.916563,124694.7874,0.190929258,0.002576103,-85.96098,-85.96098,62.544365,62.544365,-23.062672,-23.062672,24.830654,24.830654,-15.000142,-15.000142,2.837579,2.837579,-7.5511565,-7.5511565,3.1252546,3.1252546,-4.11086,-4.11086,-0.5050956,-0.5050956,-6.0004177,-6.0004177,-6.9656467,-6.9656467,-8.987969,-8.987969,-3.3889096,-3.3889096,-11.076965,-11.076965,-1.4570751,-1.4570751,-7.0838504,-7.0838504,-2.0867577,-2.0867577,-3.254082,-3.254082,-4.02447,-4.02447,4
104625-4-0-3,7,0.6225931,0.04444673,0.050518993,0.000208316,3024.292876,23304.45952,2408.576032,53683.27758,5722.853256,237739.2664,0.203991488,0.000634172,-108.09752,-108.09752,63.804214,63.804214,-34.719086,-34.719086,21.630993,21.630993,-16.128838,-16.128838,1.0627571,1.0627571,-3.2912304,-3.2912304,12.665386,12.665386,-6.96362,-6.96362,5.168576,5.168576,-3.4341018,-3.4341018,-1.206275,-1.206275,-10.116176,-10.116176,-0.33458847,-0.33458847,-5.817638,-5.817638,7.3988004,7.3988004,-8.76437,-8.76437,-2.7725012,-2.7725012,0.1460087,0.1460087,0.18662804,0.18662804,4
104625-4-0-35,7,0.59631306,0.055036683,0.06814949,0.000546661,3080.329473,20366.13586,2466.442984,66326.16289,5859.894046,181067.771,0.19076838,0.002117434,-83.99292,-83.99292,60.477703,60.477703,-30.581118,-30.581118,26.326733,26.326733,-9.484776,-9.484776,4.489258,4.489258,-11.382519,-11.382519,7.16439,7.16439,-2.6397347,-2.6397347,0.7366565,0.7366565,-5.4400077,-5.4400077,-2.537713,-2.537713,-6.568195,-6.568195,-2.9570253,-2.9570253,-10.492287,-10.492287,0.27775934,0.27775934,-2.9207718,-2.9207718,-0.9170308,-0.9170308,-7.0976624,-7.0976624,-2.5898516,-2.5898516,4
104625-4-0-40,7,0.6264792,0.04672705,0.05679234,0.000222491,3068.875164,38064.30572,2349.211806,22938.33143,5709.659501,50918.33164,0.212334605,0.002178728,-95.93221,-95.93221,59.050743,59.050743,-38.648426,-38.648426,22.861176,22.861176,-20.423927,-20.423927,2.9250336,2.9250336,-13.787397,-13.787397,8.069277,8.069277,-6.7592278,-6.7592278,0.33394182,0.33394182,-9.403643,-9.403643,-5.7009296,-5.7009296,-6.211476,-6.211476,-1.2390496,-1.2390496,-9.743684,-9.743684,1.2480793,1.2480793,-1.8130478,-1.8130478,-0.1950441,-0.1950441,-5.308722,-5.308722,-1.7646598,-1.7646598,4
104625-4-0-41,7,0.6084215,0.047158066,0.056725662,0.000314487,3044.067846,42053.82797,2378.347534,23510.6972,5761.25206,41082.5662,0.205247471,0.002427365,-100.57648,-100.57648,59.816986,59.816986,-34.11552,-34.11552,28.01698,28.01698,-12.801745,-12.801745,4.9558296,4.9558296,-11.939503,-11.939503,7.9319315,7.9319315,-10.182497,-10.182497,0.2785209,0.2785209,-10.111467,-10.111467,-8.04384,-8.04384,-6.5703254,-6.5703254,-3.906866,-3.906866,-11.29278,-11.29278,1.6840242,1.6840242,-1.8197293,-1.8197293,-1.091471,-1.091471,-5.977035,-5.977035,-2.3976028,-2.3976028,4
104625-4-0-45,7,0.6138604,0.05064861,0.06509393,0.000591169,3021.563129,94765.96824,2431.17901,39250.68909,5800.64662,150963.1641,0.197900673,0.002930286,-91.71112,-91.71112,63.858494,63.858494,-25.63652,-25.63652,28.047327,28.047327,-18.244745,-18.244745,0.882732,0.882732,-8.069827,-8.069827,5.390132,5.390132,-14.917746,-14.917746,-3.1603143,-3.1603143,-11.537142,-11.537142,-8.722628,-8.722628,-10.0680275,-10.0680275,-4.576821,-4.576821,-4.817092,-4.817092,1.2916862,1.2916862,-5.0864997,-5.0864997,3.2287097,3.2287097,-3.3297782,-3.3297782,-2.2480135,-2.2480135,4
104625-4-0-48,7,0.6238194,0.055134468,0.062700726,0.000526159,2883.262962,60909.4967,2373.165314,27682.26819,5511.939888,118769.1442,0.189687387,0.002180515,-95.20308,-95.20308,69.60459,69.60459,-29.606361,-29.606361,28.503471,28.503471,-15.95761,-15.95761,3.545427,3.545427,-6.847386,-6.847386,6.860387,6.860387,-7.863187,-7.863187,2.2113583,2.2113583,-12.496118,-12.496118,-7.0835876,-7.0835876,-8.7704115,-8.7704115,-4.70269,-4.70269,-7.71845,-7.71845,2.7474062,2.7474062,-0.8941305,-0.8941305,2.6050186,2.6050186,-3.7834296,-3.7834296,-2.9458199,-2.9458199,4
104625-4-0-51,7,0.59181225,0.061637815,0.06050596,0.000362606,2945.880701,54123.78012,2368.275019,25939.30087,5498.31049,36829.97949,0.190031724,0.00282778,-98.27189,-98.27189,63.81204,63.81204,-33.396618,-33.396618,29.143126,29.143126,-13.113829,-13.113829,7.706424,7.706424,-5.877583,-5.877583,1.752315,1.752315,-7.4262257,-7.4262257,1.411191,1.411191,-6.61458,-6.61458,-6.46642,-6.46642,-11.189944,-11.189944,-4.7116446,-4.7116446,-6.871426,-6.871426,4.9356303,4.9356303,-0.8037554,-0.8037554,3.405805,3.405805,-7.468153,-7.468153,-4.833265,-4.833265,4
104625-4-0-52,7,0.5947261,0.058100015,0.06256884,0.000583581,3007.494054,33530.59633,2367.230014,40254.85708,5596.20566,52177.4097,0.198439758,0.002723423,-94.34432,-94.34432,60.226223,60.226223,-38.709995,-38.709995,23.840202,23.840202,-12.228198,-12.228198,8.417189,8.417189,-11.641375,-11.641375,1.8789912,1.8789912,-6.035831,-6.035831,-1.3047647,-1.3047647,-9.884521,-9.884521,-4.6524363,-4.6524363,-8.358489,-8.358489,-2.678099,-2.678099,-8.370148,-8.370148,3.2626276,3.2626276,-1.1825083,-1.1825083,1.3287345,1.3287345,-6.00487,-6.00487,-2.094316,-2.094316,4
104625-4-0-53,7,0.56457686,0.060578544,0.06229719,0.000663363,2993.888491,27547.1515,2371.424283,61121.1562,5613.444669,198336.9996,0.188180207,0.002398393,-97.95696,-97.95696,62.200428,62.200428,-38.680378,-38.680378,23.170944,23.170944,-11.293027,-11.293027,7.619547,7.619547,-11.6516285,-11.6516285,7.505243,7.505243,-3.0421546,-3.0421546,-2.729901,-2.729901,-11.460746,-11.460746,-2.9389377,-2.9389377,-7.697782,-7.697782,-1.3448865,-1.3448865,-8.17762,-8.17762,1.8066009,1.8066009,-3.5583467,-3.5583467,-1.6599993,-1.6599993,-4.808782,-4.808782,1.9079142,1.9079142,4
104625-4-0-55,7,0.5338919,0.06167876,0.07741131,0.00080353,2918.280434,36400.45113,2496.172128,49710.3227,5657.50683,99376.74395,0.165595082,0.002644099,-80.86618,-80.86618,68.59174,68.59174,-26.840097,-26.840097,21.291214,21.291214,-10.838246,-10.838246,8.651552,8.651552,-4.6594496,-4.6594496,6.980841,6.980841,0.33342302,0.33342302,-0.7122402,-0.7122402,-8.032448,-8.032448,-6.484095,-6.484095,-11.933591,-11.933591,-1.4260032,-1.4260032,-6.4935875,-6.4935875,1.3231444,1.3231444,-7.3308654,-7.3308654,-3.130554,-3.130554,-3.733692,-3.733692,-4.7166142,-4.7166142,4
104625-4-0-57,7,0.6226152,0.04384884,0.05598929,0.000191532,3037.670601,21214.87539,2314.437984,21516.51867,5623.837862,48953.54892,0.210621387,0.001309579,-94.62469,-94.62469,60.11053,60.11053,-42.615692,-42.615692,23.564566,23.564566,-13.481336,-13.481336,7.599248,7.599248,-13.673799,-13.673799,11.093995,11.093995,-2.83939,-2.83939,1.0190991,1.0190991,-7.892804,-7.892804,-4.1610017,-4.1610017,-7.2166657,-7.2166657,-0.24266204,-0.24266204,-4.481287,-4.481287,3.6993468,3.6993468,-3.069399,-3.069399,3.2756236,3.2756236,-1.1225541,-1.1225541,-1.7708061,-1.7708061,4
104625-4-0-66,7,0.63197,0.04308751,0.061395977,0.000443369,2987.431394,23851.83048,2386.986031,11949.25396,5657.195657,26625.76064,0.201279128,0.001240801,-85.949974,-85.949974,65.64461,65.64461,-35.174984,-35.174984,16.736311,16.736311,-25.763706,-25.763706,0.4391485,0.4391485,-8.131791,-8.131791,10.639001,10.639001,-3.062659,-3.062659,3.671597,3.671597,-5.2032514,-5.2032514,1.2530676,1.2530676,-2.9127939,-2.9127939,-1.8121598,-1.8121598,-8.983943,-8.983943,2.6543705,2.6543705,-5.2001786,-5.2001786,-1.7723024,-1.7723024,-4.375458,-4.375458,-0.5437835,-0.5437835,4
